names,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29
crocus_ioseph_1535_05,0.000593,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.012434441,0.000321,0.000685,0.330273007,0.001193519,0.048845281,0.000292,0.000204,0.000847,0.381479105,0.043059797,0.000312,0.000236,0.000472,0.000882,0.035934136,0.000195,0.000751,0.010246347,0.000306,0.126377231
crocus_ioseph_1535_06,0.000593,0.009969339,0.000222,0.000855,0.00056,0.019963342,0.000452,0.000798,0.05856644,0.002731794,0.000321,0.000685,0.145922725,0.001193519,0.000332,0.000292,0.009906174,0.000847,0.575532034,0.013951858,0.000312,0.000236,0.000472,0.020287442,0.132960601,0.000195,0.000751,0.000544,0.000306,0.000243
crocus_ioseph_1535_07,0.000593,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.012434441,0.000321,0.000685,0.407894179,0.001193519,0.000332,0.000292,0.000204,0.010549214,0.352371166,0.004249211,0.000312,0.000236,0.000472,0.000882,0.200879126,0.000195,0.000751,0.000544,0.000306,0.000243
crocus_ioseph_1535_08,0.019997805,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.022137087,0.000321,0.000685,0.145922725,0.069112044,0.000332,0.000292,0.000204,0.000847,0.420289691,0.004249211,0.000312,0.000236,0.058688377,0.000882,0.239689711,0.000195,0.010453714,0.000544,0.000306,0.000243
crocus_ioseph_1535_09,0.000593,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.010053208,0.002731794,0.000321,0.000685,0.330273007,0.001193519,0.000332,0.029399646,0.000204,0.000847,0.294155287,0.091573029,0.000312,0.04874889,0.000472,0.000882,0.171771186,0.000195,0.010453714,0.000544,0.000306,0.000243
crocus_ioseph_1535_10,0.000593,0.009969339,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.012434441,0.000321,0.000685,0.417596825,0.030301458,0.000332,0.000292,0.000204,0.010549214,0.352371166,0.013951858,0.000312,0.000236,0.000472,0.000882,0.132960601,0.000195,0.000751,0.000544,0.010009125,0.000243
crocus_ioseph_1535_11,0.000593,0.2525355,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.012434441,0.000321,0.000685,0.000383,0.001193519,0.000332,0.000292,0.000204,0.000847,0.391181752,0.004249211,0.000312,0.000236,0.000472,0.000882,0.327013529,0.000195,0.000751,0.000544,0.000306,0.000243
crocus_ioseph_1535_12,0.000598,0.049257856,0.000224,0.000864,0.000565,0.069147488,0.000456,0.000806,0.000354,0.00275856,0.000324,0.000691,0.088566173,0.001205212,0.000335,0.000295,0.000206,0.020450282,0.522384669,0.141458786,0.000315,0.000238,0.000477,0.000891,0.09507247,0.000197,0.000758,0.000549,0.000309,0.000245
crocus_ioseph_1535_13,0.000598,0.000269,0.000224,0.000864,0.000565,0.000564,0.000456,0.000806,0.000354,0.00275856,0.000324,0.000691,0.225734115,0.011002923,0.000335,0.000295,0.000206,0.000855,0.61056406,0.102267945,0.000315,0.000238,0.000477,0.000891,0.016690788,0.000197,0.000758,0.020144448,0.000309,0.000245
crocus_ioseph_1535_14,0.000593,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.077971733,0.002731794,0.000321,0.000685,0.223543897,0.001193519,0.000332,0.000292,0.000204,0.000847,0.478505569,0.052762443,0.000312,0.000236,0.000472,0.000882,0.132960601,0.000195,0.010453714,0.010246347,0.000306,0.000243
crocus_ioseph_1535_15,0.039789158,0.000269,0.000224,0.000864,0.020160523,0.15732688,0.000456,0.000806,0.000354,0.02235398,0.000324,0.000691,0.274722666,0.001205212,0.000335,0.000295,0.000206,0.020450282,0.081487712,0.043481684,0.000315,0.000238,0.000477,0.000891,0.310622093,0.009994436,0.000758,0.010346738,0.000309,0.000245
crocus_ioseph_1535_16,0.000593,0.000267,0.000222,0.000855,0.00056,0.097584514,0.000452,0.000798,0.000351,0.002731794,0.000321,0.000685,0.252651836,0.001193519,0.000332,0.000292,0.000204,0.029954507,0.400884398,0.091573029,0.000312,0.000236,0.000472,0.000882,0.113555308,0.000195,0.000751,0.000544,0.000306,0.000243
crocus_ioseph_1535_17,0.000593,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.010500824,0.010053208,0.002731794,0.000321,0.000685,0.21384125,0.001193519,0.000332,0.000292,0.000204,0.000847,0.488208216,0.06246509,0.000312,0.000236,0.000472,0.000882,0.123257954,0.000195,0.078372239,0.000544,0.000306,0.000243
crocus_ioseph_1535_18,0.000593,0.009969339,0.000222,0.000855,0.00056,0.010260696,0.000452,0.000798,0.000351,0.012434441,0.000321,0.000685,0.252651836,0.001193519,0.000332,0.000292,0.000204,0.000847,0.546424094,0.013951858,0.000312,0.000236,0.000472,0.000882,0.103852661,0.000195,0.029859007,0.000544,0.000306,0.009945474
crocus_ioseph_1535_19,0.000598,0.000269,0.000224,0.000864,0.000565,0.000564,0.000456,0.000806,0.000354,0.02235398,0.000324,0.000691,0.235531825,0.030598343,0.000335,0.000295,0.000206,0.000855,0.669350321,0.004290844,0.000315,0.000238,0.000477,0.000891,0.016690788,0.000197,0.010556137,0.000549,0.000309,0.000245
crocus_ioseph_1535_20,0.000593,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.002731794,0.000321,0.000685,0.000383,0.001193519,0.000332,0.000292,0.000204,0.000847,0.788990255,0.004249211,0.000312,0.077856829,0.000472,0.000882,0.113555308,0.000195,0.000751,0.000544,0.000306,0.000243
crocus_ioseph_1535_21,0.000593,0.019671985,0.000222,0.000855,0.010262266,0.1363951,0.126586138,0.000798,0.000351,0.012434441,0.000321,0.000685,0.000383,0.001193519,0.000332,0.000292,0.000204,0.000847,0.58523468,0.013951858,0.000312,0.000236,0.000472,0.000882,0.045636783,0.039005403,0.000751,0.000544,0.000306,0.000243
crocus_ioseph_1535_22,0.000598,0.000269,0.000224,0.157627166,0.000565,0.000564,0.000456,0.000806,0.000354,0.00275856,0.000324,0.000691,0.000387,0.001205212,0.000335,0.000295,0.000206,0.000855,0.61056406,0.004290844,0.000315,0.000238,0.000477,0.000891,0.046083919,0.000197,0.000758,0.098526129,0.000309,0.068829177
crocus_ioseph_1535_23,0.000593,0.213724914,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.002731794,0.000321,0.000685,0.068301554,0.001193519,0.000332,0.000292,0.000204,0.000847,0.488208216,0.081870383,0.000312,0.000236,0.000472,0.000882,0.094150015,0.000195,0.000751,0.000544,0.000306,0.039053413
crocus_ioseph_1535_24,0.000593,0.000267,0.000222,0.029963362,0.00056,0.204313625,0.000452,0.000798,0.000351,0.002731794,0.000321,0.000685,0.097409493,0.001193519,0.000332,0.000292,0.000204,0.000847,0.556126741,0.004249211,0.000312,0.000236,0.000472,0.000882,0.094150015,0.000195,0.000751,0.000544,0.000306,0.000243
crocus_ioseph_1535_25,0.000593,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.126932581,0.000351,0.031839734,0.000321,0.000685,0.000383,0.001193519,0.000332,0.000292,0.000204,0.000847,0.691963791,0.03335715,0.000312,0.000236,0.000472,0.000882,0.103852661,0.000195,0.000751,0.000544,0.000306,0.000243
crocus_ioseph_1535_26,0.000593,0.000267,0.000222,0.020260715,0.00056,0.000558,0.000452,0.000798,0.000351,0.002731794,0.000321,0.000685,0.21384125,0.001193519,0.029439988,0.097318171,0.000204,0.000847,0.439694984,0.043059797,0.000312,0.000236,0.029580438,0.000882,0.103852661,0.000195,0.010453714,0.000544,0.000306,0.000243
crocus_ioseph_1535_27,0.000593,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.010500824,0.000351,0.031839734,0.000321,0.000685,0.000383,0.001193519,0.000332,0.000292,0.000204,0.000847,0.730774377,0.023654504,0.048825282,0.000236,0.000472,0.000882,0.123257954,0.000195,0.000751,0.000544,0.000306,0.01964812
crocus_ioseph_1535_28,0.000593,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.002731794,0.000321,0.000685,0.000383,0.001193519,0.000332,0.000292,0.000204,0.000847,0.711369084,0.052762443,0.000312,0.000236,0.000472,0.000882,0.123257954,0.000195,0.000751,0.000544,0.000306,0.097269292
